id,en,jp,trans
0-chapter_name,,第1話 喝采なき帰還,第1話 喝采なき帰還
0-synopsis,,姬塔達は、商人からアイルスト王国が滅んだことで軍隊の見回りがなくなってしまい、街道の行き来が難しくなっているという話を聞く。柄の悪い人間に護衛を頼まなければならないことを嘆く商人は、姬塔一行と出会えたことを運が良いと話すのだった。,姬塔達は、商人からアイルスト王国が滅んだことで軍隊の見回りがなくなってしまい、街道の行き来が難しくなっているという話を聞く。柄の悪い人間に護衛を頼まなければならないことを嘆く商人は、姬塔一行と出会えたことを運が良いと話すのだった。
0,,<span class='scene-font-katari'>姬塔達は商人を連れ、</span><br><span class='scene-font-katari'>宿場町に到着した。</span>,<span class='scene-font-katari'>姬塔一行人就这样</span><br><span class='scene-font-katari'>带着商人抵达了旅馆街。</span>
1,,本当に、みなさんには<br>なんとお礼を言えば良いか……,真的不知道该如何<br>向各位表达感激之情啊...
2,,魔物に襲われる危険は解るが、<br>あのような男に護衛を頼むのも<br>危ないな……,虽然知道可能会被魔物袭击<br>不过委托那样的男人当护卫<br>也是很危险的呀...
3,,はい……おっしゃる通りです。<br>ですが、アイルスト王国が<br>なくなってしまったので致し方なく……,是啊...就如同你说的...<br>可是自从艾尔斯特王国消失之后<br>实在是没有办法呀...
4,,昔はこんなに魔物も多くなかったし、<br>兵隊さん達が見回ってくれていたので<br>街道は安全だったんですけどねぇ。,以前的魔物并没有这么多<br>而且会有军队在这附近一带巡逻<br>那时候的街道可是相当安全呢。
5,,そっか……そういえば、<br>魔物が暴れ回ってるって……,原来是这样...<br>话说回来，魔物还真的是到处徘徊呢...
6,,それぞれの街や村は復興が<br>随分進んだんですが、<br>行き来ばかりはどうしても……,各个城镇都相继复兴<br>回复昔日的繁荣地步<br>在这之间的往返实在是必要...
7,,そうだな、魔物が出るんじゃ<br>気軽に隣の街へってワケにゃ<br>いかねぇよな。,说的也是呢<br会有魔物出现的话<br>就不能轻易到达邻镇了呢。
8,,人手も足りていませんから、<br>ああいう柄の悪い人でも<br>頼らざるを得なくて。,正因为眼下是人手不足的情况<br>才万不得已的<br>依靠那种人品很差的人。
9,,……すまない、<br>貴殿の事情も考えず<br>偉そうなことを言ってしまった。,万分抱歉<br>完全没有考虑到阁下的状况<br>说了不少自以为是的话。
10,,いえいえ！<br>私が人の選び方を<br>間違えたのは事実ですからね。,不会不会！<br>我不会看人也完全是铁一般的事实啊。
11,,あなた方のような<br>親切なお方に会えるなんて、<br>運が良かった。,能遇到各位如此亲切的人<br>实在是太幸运了。
12,,……本当に、すまない。,...真的十分抱歉。
13,,姬塔殿、<br>日が暮れるまでにはまだ時間がある。<br>少し休んでから城下町に出発しよう。,姬塔殿下<br>距离太阳下山还有一段时间<br>稍作休息之后我们就往王都出发吧。
14,,お疲れでしょう、<br>あそこの茶屋で休みませんか？<br>勿論、お代は私持ちで！,辛苦各位了<br>要到那边的茶屋稍作休息吗？<br>当然，算我请客！
15,,わぁ、ありがとうございます！<br>行きましょう、姬塔！,哇，真是太感谢了！<br>那我们走吧，姬塔！
16,,<span class='scene-font-katari'>姬塔達は暫く休憩してから、</span><br><span class='scene-font-katari'>宿場町を出発した。</span>,<span class='scene-font-katari'>一行人在稍作休息之后</span><br><span class='scene-font-katari'>就出发前往王都了</span>
info,,1,scene_evt150930_cp1_q2_s10